playtime_at_review,review,voted_up,comment_count,votes_up,votes_funny,音楽,システム,ゲーム性,映像,登場人物,登場モンスター,世界観,游戏性
5634,w,False,0,7,1,なし,なし,なし,なし,なし,,,
6782,"いろいろ言われてるけど、自分の環境では問題なく動作したのでそれ抜きでレビューすると
新作ということもあって、良いグラフィックで新しいモンハンを遊べただけでもかなり満足です。
ただ、圧倒的にボリュームが前作に劣っており、ライトプレイヤーの私から見ても物足りません。
見たことないくらい生き物や環境に力を入れており、なぜその情熱をモンスターへ向けることができなかったのかとすら思いました。
何度も書きますが私は割と満足しています。装備はかっこいいし、アクションの部分も手触りはかなり良いです。興味があればやってみても後悔はしないと思いますよ。",True,0,2,1,なし,なし,アクションの手触りは良い,良いグラフィック、生き物や環境に力を入れている,なし,,,
3104,"グラがきれいなモンハン。
正直微妙としか言えないけど、MR実装で改善すると信じて一応オススメにしておく。
ただ、モンスター少ないし、なんかプレイしてて楽しさが足りない感じ。",True,0,1,1,なし,MR実装で改善する可能性あり,プレイしてて楽しさが足りない,グラフィックがきれい,なし,,,
6493,最近のカプコン作品は新しいものばかり取り入れようとして、ファンが期待している内容を見事に外してくる。ワイルズに関してはワールドを継承しつつブラッシュアップすればいいものを、効率よくし過ぎてゲーム自体が簡単に遊び終わってしまう。このゲームのために最新のPCを購入して一か月もせずコンプリートしてしまってやることが見つからない。アップデートで新しいモンスターが追加されてもすぐクリアできてしまって物足りない。もっと時間をかけて長く遊ばれるような作品にしたらよかったのに。もう十分映像は奇麗なんだからスペックは求めていない。そうじゃなくて内容を充実させてほしい。次回作は私はとりあえず買わないと思う。,False,0,15,1,なし,効率良くしすぎたため、長時間遊べない,物足りない,十分に美しくなっている,なし,,,
8206,"頭固めバグ濃いめモンスター少なめ
",False,0,12,7,なし,なし,なし,なし,なし,,,
6814,good,True,0,0,2,なし,なし,なし,なし,なし,,,
12180,"一生ベータテストさせられるクソゲー
セールで投げ売りされるタイミングで買うのが丁度いい
今後モンスターハンターシリーズを定価で買うことは二度とない",False,0,33,4,なし,なし,なし,なし,なし,,,
22067,"今作の大きな変化は何といっても戦闘密度だと思っています。
前作でも無敵技やカウンター技が増えて強引に自分のターンを作ることができましたが、本作はさらにその方向に伸びました。
ジャストガードが取れれば、ガードの後隙を減らしつつ攻勢に転じることができ、
相殺が取れれば、相手のターンを強制的に終えることができるようになりました。

研ぎ澄ますという言葉のままに、モンスターの一挙一動に対して後の先を取り、タイミングを熟知することで無駄がボロボロ削げるのが快感。
本作の戦闘の行きつくところは「狩猟が完成する」と表現するのが、ニュアンスに一番近いかなと思っています。
ただ、それありきになってしまっているので、高難易度のモンスターは攻撃が途切れずずっと暴れているのがざらでして。
覚えるまでは頻繁にお手玉に遭いますし、覚えるのを重要視してかモンスター数も減ってしまったのでそういうのは求めてなかったという意見にもすごく納得しています。

ともあれ大型拡張コンテンツは鋭意製作中だそうで、今夏の情報に期待を高めています",True,0,15,7,なし,戦闘システムが大幅に改良され、ジャストガードや相殺などの新要素が追加された,戦闘の密度が高まり、狩猟の楽しさが増したが、高難易度モンスターには対応しきれない,なし,なし,,,
11444,"返金してほしい
未完成のゲーム売るなら3000円ぐらいにしてくれ
実績コンプリートまでしたから言っている。",False,0,13,2,なし,なし,なし,なし,なし,,,
1442,"S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
S9052-TAD-W79T
",False,0,8,2,なし,なし,なし,なし,なし,,,
22606,買うべきでは　なかった,False,0,12,0,なし,なし,なし,なし,なし,,,
15035,"グラボを更新すると毎回ゲームが落ちるようになる。
セクレトが使いにくい。
終わらない武器調整。
こだわったリアル性＝不便。
ゲーム自体は楽しいので残念。",False,0,8,1,なし,セクレトが使いにくい、武器調整が終わらない,なし,なし,なし,,,
2095,"・ちまちまアプデを追加するのをやめてほしい。最初に買うのがばからしくなるし、全期間を通してやる気が失せる。
・いらないストーリー。
・グラフィックへのいらんこだわり。XXが一番面白かった。ゲームとしての面白さは下がっていってるしゲームとして好きだった人たちは離れるんじゃないかな。",False,0,8,1,なし,なし,なし,グラフィックへのこだわりがあるが、ゲームとしての面白さが低下している,なし,,,
19027,"エンドコンテンツである巨戟アーティアの厳選が非常にだるいです。
一つの武器種を完成させるのに、ゴグマジオスを何十体も討伐しないといけないのですが、今作は属性環境なので、全属性分の巨戟アーティアを揃えないといけません。
使いたい武器種が複数あって今作を最後までやりきりたいと思う人は、相応の覚悟と時間が必要でしょう。
おまけに、ゴグマジオス戦は最初のうちは面白いかもしれませんが、周回を重ねていくと普通に作業感が強くなってくるので、余計に忍耐力が要求されます。
あと、今作は武器と防具で装飾品の種類が分かれているのですが、それがスキルの自由度を極端に縮めています。過去作であった火力スキルの多くが弱体化されていますが、武器の装飾品スロットは枠が少ない癖に火力を盛るには必須のスキルがとんでもなくあるので、過去作経験者は歯痒い思いをすると思います。
買うのを検討している人は、拡張コンテンツでMRが実装されて評価が定まるのを待った方が良いと個人的に思いますね。",False,0,11,1,なし,厳選が大変で、ゴグマジオスを大量に討伐する必要がある。武器と防具で装飾品の種類が分かれているため、スキルの自由度が制限される,周回を重ねると作業感が強くなる。武器の装飾品スロットが少ないが、火力を盛るためのスキルが不足している,なし,なし,,,
4149,"長らく愛してきたカプコンに不信を抱いた作品。
ゲームは面白いが値段相応の価値は無く思える。
アップデートで内容追加していくため、未完成のような状態で発売されているように思える。
初心者向けに簡単すぎたのも飽きる原因の一つ。今はアップデートで高難易度も追加されているらしいがやる気にならない。
長い歴史のモンハンの最新作であるので面白いのは確かだが、自分的には7000円程度が妥当。",False,0,18,3,なし,アップデートで内容が追加されるが、未完成感がある,初心者向けに簡単すぎた,なし,なし,,,
7169,"鳥を下取りに出すから犬を返してほしい
初期不良だよあれ",True,0,9,3,なし,なし,なし,なし,なし,,,
56428,"クラッシュする人はGefoceドライバのバージョンを変えることをお勧めします。
使ってるPCにあうバージョンを見つけれればクラッシュしなくなりますよ・。・
私は最新のバージョンにしたらクラッシュ頻発したので、過去バージョンにしたらクラッシュしなくなりました。",True,0,2,2,なし,なし,なし,なし,なし,,,
31760,"HR999　総時間500超盾斧ユーザーの意見を書いておきます

総評：上位時点では充分面白いが、中身が薄いのは事実。上位恒例のMRに期待

以下個人的にピックアップした内容です
・上位時点と考えると厳選項目は多いが、武器、防具でスキルが分かれてしまい過去作と比べ自由度が下がってしまっている。武器によっては武器スキル枠に必須スキル入れて終わりのため武器格差が出る
・過度なグラフィックや世界観、生体系の構築など、力の入れ方を間違えている。「モンスターハンター」をやりたくて買ったら半分ポケモンスナップだったみたいな感じ
・集中モードは神。今後も必ず続投してほしい
・初期、追加モンスターの数が少ないのは事実で、多種のモンスターを狩りたいが数がいないし狩るうまみが無い。しかしワールドやライズと比較しつまらないと評価する人がいるが、MRのアップデート完了と上位が終わっていない時点で比較している人が一定数いる。半ライスと比べれば全然やることある

　アクションゲームとしてみると面白いですが、MHの新作、万人受けする作品かを聞かれたら違います
賛否様々あり結構的を得ている評価が多く、ラギア追加以降の評価は概ねあっています
　初期環境にてアイテムを大量回収し厳選を進めた人が「やることない」とレビューしてますが、ソシャゲでリセマラして強キャラゲットして満足したのと変わらないので、更新されたレビューは個人的に参考にしなくていいです。",False,0,39,1,なし,武器、防具でスキルが分かれ、自由度が低下している,集中モードは好評だが、初期モンスターの数が少なさ,過度なグラフィックや世界観の構築が問題視されている,なし,,,
13310,"アプデ内容見て再開する気は起きなかった。
W/IBのMO風味はそのままなのでそれ系が好きでないならおすすめできないです。

これからもこのスタイルで作っていくなら運営型ライブサービス式にした方がいいと思います。
小出しアプデも異世界コラボも期間限定イベントもMOD封じも大縄跳びも有料スキン・キャラメイクやり直しも全部正当性を持たせられて憧れのFF14に近づけますよね。",False,0,19,0,なし,なし,なし,なし,なし,,,
1150,"ワールドが歴代屈指の神ゲーだっただけに本当に残念とにかく残念

絶対に買うな、もし買うならモンハンワールドをやったことない人

この作品をやった後にワールドをやれば楽しさが際立つと思うｗ

３０/１００",False,0,14,3,なし,なし,なし,なし,なし,,,
5772,"待ちに待った新作だったんですが、ストーリーがあっさりしすぎて物足りない。
あと、なかなか気軽に買えるものじゃないのに結構いい性能のグラボじゃないと、ムービーがちゃちくなるのが残念。
確かに、リアルで精密なグラフィックはモンハンに合うし、ティザー時はテンション上がりました。でも、要求スペック高すぎて、実際の画面はフロンティアを彷彿とさせてくれました。
私だって、グラボ更新したいですよ。でも高すぎるのよ...",False,0,12,3,なし,なし,なし,ムービーがちゃちくなる,なし,,,
25364,ゴグマジオスは楽しくない、勝てない、面倒くさいの三拍子そろったクソモンス,False,0,16,7,なし,なし,勝てない、面倒くさい,なし,なし,,,
8146,楽しかったです。やりこみ要素は少なかったものの、良作だと思います。,True,0,5,3,なし,やりこみ要素は少なかった,なし,なし,なし,,,
57061,発売日に買ってボリュームのなさにフルプライスで購入したことを後悔したりもしましたがなんだかんだ続けてました。2026年5月時点で一旦マスターランク実装までの間に今までのアップデート要素を楽しむことが出来るようになっているのでアップデートを待ち続ける苦行をする必要がなくなりおすすめ出来る代物とはなっているので今が買い時とは思います。,True,0,5,8,なし,なし,なし,なし,なし,,,
5834,すき,True,0,2,4,なし,なし,なし,なし,なし,,,
10838,おもんない,True,0,1,7,なし,なし,なし,なし,なし,,,
12082,"※動作うんぬんはおまかんも含まれるので言及しません。
MRも来るみたいだし触ってくれたら嬉しいよね？って意味で高評価。
だ・け・ど…正直な意見はオープンワールド？の意味が全くない意欲作。
やることは突き詰めればシリーズ通して同じになってしまった。
”た”とえば”こ”んな”シ”チュエーションも”あ”れば面白かったのかもしれない。
砂原のヌシであるレ・ダウを狩猟中、エリア移動先が緋の森になる。そこには森のヌシであるウズ・トゥナも居るため両モンスターの縄張り争いによる激戦は必至。周辺の拠点への被害も考えれば狩猟対象を拡大しなければならない。単一から複数目標へ、”狩猟環境不安定”の時期にはハンターと編纂者の”選択が必要”になる事がある。
なぁんて事もなく、結局砂原は砂原内で決着をつけるので今まで通りの箱庭と同じです。
ハンターが何をするのか？（開発のエゴ）じゃなくてハンターが何ができるのか？（プレイヤーの選択・技量）に振ってくれた方が難易度は上がれど楽しむ層は居たんじゃないなぁ…って印象。
MRに期待して、今のうちに触って解禁待ちした方が良いよね？って気持ちですが、モンハンの冬はまだ続きそうだなってゲーム。",True,0,0,2,なし,なし,狩猟環境不安定の時期にはハンターと編纂者の選択が必要になる,砂原のヌシであるレ・ダウを狩猟中、緋の森での激戦,レ・ダウ、ウズ・トゥナ,,,
13038,復帰してみたが大剣が弱いと聞いて萎えたのでやめました,False,0,8,4,なし,なし,大剣が弱い,なし,なし,,,
500,PS4のコントローラーがなぜかワイルズをするときだけオレンジ色に光って大気モードになる。戦闘中に何度もなってストレスマッパくそカス,False,0,6,6,なし,なし,なし,なし,なし,,,
11790,集中モード最高,True,0,3,5,なし,なし,なし,なし,なし,,,
5514,"一回全然ゲームを起動できなくなったけど、ファイアーウォールを一回オフにして、スチームを管理者権限で起動したらその後は問題なく起動しています。
スマホのデザリングではマルチプレイができない。
あまり上手くなくてもゴグマジオス討伐までは行けたので良かった。
普通に面白かった。",True,0,0,4,なし,ゲームを起動するのに問題があったが、設定変更後は正常に動作した,なし,なし,なし,,,
7072,1年やってないけど面白い,True,0,0,10,なし,なし,なし,なし,なし,,,
14114,"最後まで変わらなかったね
定価での購入は避けた方がいい
セール&PCのスペックに余裕あり&暇
の三拍子揃ったらありかもしれない
以降、新作が出るにしても半年は様子見した方がいい",False,0,20,0,なし,PCのスペックに余裕があり、暇な時間にプレイできる,なし,なし,なし,,,
4369,たのしくない,False,0,14,0,なし,なし,なし,なし,なし,,,
30213,"なんだかんだ面白い
拡張DLCに期待",True,0,1,5,なし,なし,なし,なし,なし,,,
34702,"フロンティア以来のモンハンプレイですので個人的には楽しめました。
現在では良くなっているが更新後の起動時や普通の起動時に時間がかかった
追加要素が細切れで、追加タイミングも時間がかかり過ぎ
武器調整の悪さ、バグの多さが目立った
などの不満要素がてんこ盛りでしたがアプデもほぼ終了した現在ではストレスなくプレイできる良作だと思います。
未だに残念な所は
オープンワールドなのにほとんど意味が無く、ただただゲームを重くしてるだけなのが残念で、もっとやりようがあったのではないだろうか・・・
装備も素材収集難易度上げて装備ランクごとの強さの差を広げて敵の強さ調整しないと装備を一式３つくらい作って簡単にストーリー終わるくらいまで行けてしまうので味気なかった。

MRにはかなり期待してるので頑張って欲しい。
ただ要求スペック上がったらキレるかもしれない・・・やめてね。",True,0,3,5,なし,起動時のロード時間が長く、更新後の起動時や普通の起動時に時間がかかる、追加要素が細切れで追加タイミングも遅い,武器調整が悪く、バグが多い,オープンワールドの意味がなく、重く感じられる,なし,,,
17050,"初期に言われていた不快な要素はだいぶ落ち着いたと思います（解消したわけではない）
モンハンの従来作と比較して有料拡張コンテンツが無い状態でもコンテンツも十分に多く武器のバランスも良い方です
ただし、現時点では明確にオススメできない理由があると感じています
具体的に、アップデートで追加されたエンドコンテンツに挑めるようになるまでの緩和施策が不十分です

[h1]鎧玉に関する施策の不足[/h1]
鎧玉は防具の防御力を上げるのに必須の強化素材です
この鎧玉は１つの防具あたりの必要量がかなり多く、それが防具の数だけ必要になります
一時期のエンドコンテンツの１つであったためこのような設定だったのでしょう
しかし現状、[u]エンドコンテンツとしての役割を完了しているにも関わらず十分な緩和がされていません[/u]
一応鎧玉が集まりやすい配信クエストがあるのですが、レパートリーが少なくマルチプレイが前提です
そもそもの鎧玉の入手効率自体を改善するべきです

[h1]装飾人の確保方法の不足[/h1]
鎧玉が防御力に関わる強化要素なのに対して、装飾品はパッシブスキルに関わる強化要素です
こちらは付け外しがほぼ自由なので必要な個数が集まれば以後は不要になります
現在ではある程度の装飾品を任意の素材から作ることができるようになっていますが、あくまで一部の基礎的なものに留まっています
エンドコンテンツに挑むには抽選でしか入手できない装飾品が事実上必須になってきます
こればかりは装飾品の収集がメインコンテンツに挙げられる段階で揃うことを祈るほかありません
もしもエンドコンテンツに挑めるランクになっても揃わなかった場合、ただでさえ足りない鎧玉を更に切り崩しながら抽選の当たる時をひたすら祈ることになります
（鎧玉と装飾品の抽選は同じアイテムを消費します）

[h1]モンスターランクのジャンプアップ[/h1]
現状、モンスターのランクは「下位」「上位」「歴戦」「歴戦王」という４つの種類があります
しかし、このうち「歴戦」のランクはロードマップ上挑む意義の少ないランクとなっています
基本的な武器の強化には必須となりますがその量が少ないため、プレイヤーの経験が積めないロードマップになります
モンスターの動きを考えれば確かに「上位」から「歴戦王」にジャンプアップすることは可能です（「上位」→「歴戦」の段階でモンスターの動きの変化は小さいです）
しかし、ステータスで考えると相当な差があります
最終的に「歴戦王」ランクに挑むのが基本となるためどこかで経験を確保する必要があったのではないでしょうか

[hr][/hr]

配信クエストの中にはプレイヤーのランク上昇を助けるものもありますが、そもそもこれらの準備をしている間にHRは100になるでしょう
ランク上昇自体は悪いことではないのですが、それに伴い準備も整いやすくしなければ未成熟な装備でエンドコンテンツに挑むことになります
エンドコンテンツ自体も課題はありますが（特にゴグマジオス）、そもそもそこに至るまでが果たして楽しいのか疑問です",False,0,15,0,なし,エンドコンテンツの緩和が不十分、鎧玉と装飾品の入手方法に問題あり,なし,なし,なし,,,
295,ふつうにおもしろい,True,0,1,6,なし,なし,なし,なし,なし,,,
2594,"ゴグマジオスがごみ過ぎてやめそうになりました。
よくわからん、抑制に巨体のわりに判定狭いし、動くし、よくわからん兵器を使えって言われるし。
毛根をいじめたい方だけやればいいと思う。",False,0,13,3,なし,抑制に巨大なものの判定が狭く、操作が複雑,なし,なし,なし,,,
68571,"起動直後のクラッシュが多い。画面が死んでグラフィックボードのFANだけ高速で回る。

恐らく物欲センサー（特願2019-174955）は実装されている。自身の武器種に必要な護石は出ない仕様になっているので、別の武器種で挑む必要があります。またユーザーが最大限イライラするようにモンスターの行動パターンは組まれているため、根気と寛容な心が必要。
UIは親指が4本ある人用に最適化されています。

上記の点を踏まえて非常に良いゲームです。",True,0,1,10,なし,"起動直後のクラッシュが多い, グラフィックボードのFANだけ高速で回る","物欲センサーは実装されている, 护石は出ない仕様, モンスターの行動パターンはイライラさせる",画面が死んでいる,なし,,,
48565,"紆余曲折あって落ち着いた感じですね。グラフィックは過去作と比べてダントツだと思います。
MRからのスタートダッシュに期待！！！
",True,0,6,11,なし,なし,なし,グラフィックが過去作と比較して優れている,なし,,,
16277,チーターが放置されて開発の自己満が溢れてる凄いゲーム,False,0,63,3,なし,なし,なし,なし,なし,,,
1380,あまり面白くない,False,0,9,1,なし,なし,なし,なし,なし,,,
5034,全てにおいて微妙面白くもない,False,0,8,1,なし,なし,なし,なし,なし,,,
6939,"賛否両論だったので買い控えてましたが、半額キャンペーンだったので購入してみました。
それなりに遊んでみましたが、確かに賛否を感じました。
モンハンとしては７０点とかの評価も見ましたが、自分的には５０点くらいのギリギリ赤点回避くらいな印象でした。
特にマップと新モンスターが良くなかったですね、、、
マップは複雑過ぎるし、広大なはずなのに閉塞感を感じる作りで、鳥用の通路やオート移動のせいで、マップをほとんど覚えてないです。ここまでマップが入って来ないのはシリーズ初でした。

ストーリーズのグラで、新しいの作ってくだされ。。。",False,0,14,0,なし,マップ設計が複雑で広大さを感じさせない,なし,なし,なし,,,
5537, omosiroi eizougakirei,True,0,0,3,なし,なし,なし,おもしろい絵画的,なし,,,
7593,its pretty good,True,0,0,4,なし,なし,なし,なし,なし,,,
8809,"リリースされた当初は最適化されていなかったので友人とマルチプレイができない問題があったり、複数の大きな問題点が目に見えてわかるゲームだった。だが今は最適化も進んでいて私の6年前に買ったPC  RTX2060でも、ぬるぬる快適プレイが楽しめる本作。
過去作を通して見てもモンスターの少なさはあるが私は十分楽しめている。
その分！MR開放でたくさんモンスターが増えるんだろうな！きっとそうに違いない！

ただし...適応が遅すぎたのだ。リリース初期の一番人口がいる時期（増えやすい時期）に問題が複数浮き彫りになったため、全盛期の輝きを一瞬にして失ってしまった...私はこれから古龍渡りという現象を調査しに行く...が！
ハンター達よ！共に団結し、MR開放までこの大地に残り続け、なんとしても援軍が来るまで持ち堪えるんだ！！！",True,0,0,3,なし,最適化が進み、快適にプレイできる,マルチプレイの問題があったが、現在改善されている,なし,なし,,,
10515,シンプルにつまらない。,False,0,13,1,なし,なし,なし,なし,なし,,,
7199,"ワールド、サンブレイクと楽しくプレイできたのですが・・・・
ゲームに慣れれば慣れるほど、バグ？仕様なのか分からないですが。
マップもヒドイ、乗り物のAIも頭おかしい・・・・
刀のカウンターは発動するのに、相殺は発動しないのはナゼ・・・・
MRはサンブレイクの開発者に作っていただきたいですね・・・。",False,0,16,1,なし,不明,不明,マップもヒドイ,なし,,,
56961,"グラフィックドライバの更新があると、まともに起動しなくなる。
こんなゲームは他に知らない。",False,0,116,13,なし,グラフィックドライバの更新により起動不能,なし,なし,なし,,,
4676,初代からモンスターハンターをプレイしていますが、グラフィックのクオリティが高くゲームの基本仕様は変えずに様々な武器やモンスター装備が更新されており、久々にプレイしても昔の感覚のまま楽しめたのですごくよかったです。,True,0,2,3,なし,なし,なし,グラフィックのクオリティが高い,なし,,,
9501,普通にモンハンとして売ったの間違い,False,0,16,0,なし,なし,なし,なし,なし,,,
2878,そんなにやり込まないユーザとしては、過去作と比べてアクションの自由度が格段に向上し、武器問わず全体的により複雑でスタイリッシュな動きができるように正当進化を遂げただけでもすごく嬉しい。間違いなくプレイ中に過去一番ワクワクした作品でした,True,0,4,5,なし,なし,アクションの自由度が向上し、武器問わず複雑でスタイリッシュな動きができるようになった,なし,なし,,,
